이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관
강**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,daum.net,무교
강**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,daum.net,무교
강**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,yahoo.com,기독교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,daum.net,무교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,daum.net,무교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,naver.com,무교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,yahoo.com,기독교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,daum.net,불교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",AB형,1946-*****,*********,*************,daum.net,무교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,daum.net,불교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,naver.com,무교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,daum.net,불교
김**,여성,"[150.0, 160.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,naver.com,기독교
김**,여성,"[160.0, 170.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,daum.net,무교
김**,여성,"[160.0, 170.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,yahoo.com,무교
김**,남성,"[160.0, 170.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,naver.com,무교
김**,남성,"[160.0, 170.0[","[41.2, 84.3[",A형,1946-*****,*********,*************,yahoo.com,기독교
김**,남성,"[160.0, 170.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,naver.com,무교
김**,남성,"[160.0, 170.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,naver.com,불교
김**,남성,"[160.0, 170.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,gmail.com,기독교
김**,여성,"[160.0, 170.0[","[41.2, 84.3[",O형,1946-*****,*********,*************,daum.net,무교
김**,남성,"[160.0, 170.0[","[41.2, 84.3[",B형,1946-*****,*********,*************,naver.com,무교
