No,이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관
1,김종종,남성,168.1,65.4,B형,1995-12-17,6075-7114,x6yis5,naver.com,무교
2,강훈희,남성,174.9,63.4,A형,1946-10-10,1715-9263,frlfize7ir88,yahoo.com,불교
3,최종석,여성,153.7,60,A형,1967-05-30,0531-4339,uow3y6,naver.com,기독교
4,최준진,여성,161.5,53.3,A형,1952-05-10,3171-9306,d5gl47akoqk6o,yahoo.com,천주교
5,최준훈,남성,162.8,71.2,B형,1986-03-20,4565-1683,ij4xu1k561,gmail.com,무교
6,이협현,여성,147.7,55,A형,1958-12-29,3400-5887,pmgi8qzuw7wm7,gmail.com,기독교
7,김정덕,남성,175,65.8,B형,1966-12-18,2991-1336,pjc9bdg,gmail.com,불교
8,안서영,남성,173.5,71.7,O형,1967-09-06,0448-0399,i4u2dgq,yahoo.com,불교
9,김남서,남성,169.7,69.8,O형,1977-05-09,3956-6202,ohg5tu7gr7t2,naver.com,기독교
10,이성협,여성,151.3,52.6,B형,1983-09-12,7592-4501,kxjyax1,gmail.com,불교
11,차남정,여성,159.1,60.6,B형,1962-07-19,7146-2918,fwb7w4pqyc,naver.com,무교
12,김덕협,여성,151.5,66,B형,1978-06-16,6665-6767,c561ct,daum.net,불교
13,이준종,여성,154.1,57.3,B형,1955-06-12,9901-4667,j1wfxe,gmail.com,불교
14,박훈훈,남성,175.3,64.1,AB형,1979-06-28,8101-7986,gx14kge,daum.net,무교
15,나준지,여성,155.9,58,O형,1977-07-15,5261-0829,gdjgufz06k,daum.net,불교
16,김덕종,여성,155.5,57.7,B형,1984-03-23,0573-9019,j9aoxo5cf5ke,yahoo.com,무교
17,성훈현,남성,173,66,O형,1978-09-26,0448-3312,cvhp5rrvai,naver.com,무교
18,채준현,여성,159.8,59.7,O형,1959-05-27,2509-2076,uiinz9ytw4,daum.net,기독교
19,이서영,여성,152,51.2,B형,1949-09-24,3841-8713,wb67him,gmail.com,불교
20,류훈희,남성,167.5,69.4,B형,1955-02-16,5011-8773,dlzkv4,naver.com,무교
21,이희정,여성,151.4,52.4,B형,1984-09-19,5712-5285,ybs75m2,naver.com,무교
22,김남준,여성,166.6,57.1,B형,1987-07-26,2581-2587,i6psi3ep1lh,naver.com,불교
23,박협현,남성,165.1,68.2,B형,1986-12-26,3121-9412,eif247715ei,naver.com,불교
24,신종준,남성,169.3,61.5,B형,1990-05-09,6053-0479,w1a6e27540dpg,yahoo.com,무교
25,김정준,여성,151,52.1,B형,1960-09-01,5607-1137,cmuitj,gmail.com,무교
26,김상상,여성,154,55.9,AB형,1986-12-09,4593-7442,epurc1w1bab,naver.com,무교
27,양남성,남성,179.8,69.5,O형,1957-07-03,6092-5561,gpd49mpdq,daum.net,기독교
28,천우훈,남성,164.9,67.5,B형,1966-06-18,8204-8663,cluygs2,gmail.com,불교
29,오종상,여성,159.4,48.1,B형,1972-04-06,3132-1010,jwd1qt2,gmail.com,기독교
30,안준용,여성,155.5,53.3,B형,1960-03-17,5836-7474,zuabo7c7,gmail.com,천주교
31,정영종,남성,169,70.8,B형,1958-06-07,9271-9672,wdaqpntz3m,daum.net,기독교
32,김훈진,남성,169.8,64.9,O형,1965-10-15,1372-6692,t4p3d4,gmail.com,천주교
33,김영석,여성,163.2,58.3,AB형,1989-02-03,0444-4687,amrcgywdei,daum.net,기독교
34,박택서,남성,167.6,60.6,A형,1964-01-31,6790-8927,ng32ep,yahoo.com,불교
35,권영택,여성,162.2,58.4,O형,1988-09-09,3899-3725,bxzww5vu3gmmr,yahoo.com,무교
36,장덕택,여성,161.3,48.7,O형,1953-07-11,3977-2179,mdgicwd9r,naver.com,무교
37,김영택,남성,171.1,58.1,O형,1977-04-28,4756-9422,u5egdjicaslt,gmail.com,무교
38,연서영,여성,161.5,50.3,O형,1957-04-07,8658-5541,ckxb6b97ol,yahoo.com,천주교
39,김영종,남성,160,64.1,B형,1975-05-22,3771-3417,jjd674,yahoo.com,무교
40,채용덕,여성,159.5,53.1,A형,1995-09-07,7281-0768,qlsrpc,daum.net,천주교
41,권진진,남성,171.6,69.9,A형,1974-11-28,2133-2388,nm5uyl635um,daum.net,무교
42,정우덕,남성,166.2,66.1,AB형,1988-06-01,3388-6562,o6etjmgeh62,yahoo.com,무교
43,조상훈,남성,177.5,67.7,O형,1976-02-21,7088-3788,e22deq,naver.com,무교
44,형훈성,남성,177.1,63.4,O형,1983-07-26,4315-9561,q7tdmm0xdw2m,gmail.com,무교
45,박은영,남성,170.2,61.1,A형,1946-10-23,9001-9956,r2uqcf5w76gp,yahoo.com,불교
46,강준서,여성,152.7,55.2,O형,1978-01-21,7610-1327,ynzoqewz,gmail.com,기독교
47,곽현덕,여성,161,50.3,B형,1992-10-23,7311-5787,uu2dykmvdq,gmail.com,무교
48,연현영,여성,153.7,59.9,O형,1981-04-17,3628-5400,e6xh3cgigw9,yahoo.com,불교
49,최준준,남성,169.3,71.7,B형,1959-08-27,4781-3776,hg58qw4n,yahoo.com,불교
50,심우준,남성,180,58.2,B형,1955-08-07,0078-9775,gtznkedlyq6,yahoo.com,무교
51,노정영,남성,169.7,67.8,A형,1992-11-13,3682-7904,dx7a0uae2uc,naver.com,무교
52,최영석,남성,170.3,63.2,A형,1954-07-31,1755-7439,korax4aie8,yahoo.com,무교
53,김지영,여성,157.1,61.6,O형,1990-03-07,1157-9781,mqm1cd8,naver.com,불교
54,이정정,남성,170.1,67.5,O형,1961-01-03,0552-0116,nlpdun4wf,naver.com,무교
55,김희영,여성,157.8,54,B형,1985-12-14,9452-6228,rt6wxxs3,yahoo.com,무교
56,유지희,여성,151.9,56.3,A형,1974-09-12,4987-9336,xd1aqb,naver.com,불교
57,김서우,남성,177.6,69.1,A형,1980-02-23,8499-8929,uuawcz4zxu3,yahoo.com,무교
58,김남상,여성,157.3,49.3,A형,1951-02-23,7367-4247,j01str4yz0,daum.net,무교
59,정지은,여성,150.6,51.8,A형,1990-04-10,4021-1565,tohkxubow,yahoo.com,무교
60,박종상,여성,157.3,48.5,B형,1950-07-08,6364-7908,o50dsv90gfh69,gmail.com,무교
61,김석지,남성,167.5,69.9,B형,1968-11-13,4637-4299,ko9ngcku5a5gv,naver.com,천주교
62,윤용은,남성,163.7,66.5,A형,1989-09-10,8517-2831,oikb5ocs9,gmail.com,무교
63,우은준,남성,175.6,72.8,AB형,1977-03-26,0872-0651,a023fxknv,naver.com,불교
64,김훈희,남성,167.8,68.4,O형,1947-09-02,6942-9252,gzv6zao5qm,naver.com,무교
65,류영정,남성,173.9,68.1,A형,1988-11-07,2821-2983,fwbagm2u,daum.net,천주교
66,김용준,여성,168.2,47.4,A형,1952-12-31,3859-2396,b8nm6ghlgcodq,naver.com,무교
67,우지준,남성,167.3,68.1,A형,1950-08-21,7020-5005,bvuuxrht,naver.com,불교
68,이택남,여성,158.8,59.4,B형,1979-02-02,1683-3738,ii0d0nwjz76nk,gmail.com,기독교
69,이덕훈,여성,159,55.4,A형,1984-12-13,7306-3507,ygwjxhfgcd,naver.com,불교
70,장진상,남성,173.9,65.9,A형,1964-02-17,3860-6510,tyfo0mi05b,gmail.com,기독교
71,이석지,여성,152.7,48.7,AB형,1974-05-18,5822-2473,khmv6nw,gmail.com,무교
72,이희택,여성,155.7,53.4,O형,1963-07-30,5632-2538,yblc84sehc,yahoo.com,기독교
73,손종진,남성,170.3,64,O형,1973-07-09,8667-2933,f5jmq0zsc,naver.com,기독교
74,이상지,여성,151,57.3,B형,1957-02-18,2826-2710,xacmcl9u9,yahoo.com,기독교
75,강훈은,여성,170.3,59.8,B형,1969-09-26,8750-8898,aw8bwcx3w8,naver.com,무교
76,주용준,남성,166.7,64.6,A형,1984-11-25,8176-5989,j269du3o46,naver.com,불교
77,박은영,남성,179,67.6,A형,1984-08-17,1694-2877,fsudq2,naver.com,무교
78,홍지정,남성,173.9,64.1,O형,1990-05-30,9519-7040,p7nyv5w,yahoo.com,무교
79,이준용,여성,150,51.1,A형,1991-10-14,6201-7500,vkuqqsj,yahoo.com,기독교
