No,이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관,최종학력,전공,학점
3,방현영,남성,166.3,64.4,B형,19540306,010-3062-2873,nhj1n6lq,naver.com,무교,동국대학교,교육,2.28
4,이남택,남성,172.1,68.2,A형,19480119,010-2969-3368,swu6cdu111n,gmail.com,기독교,그리스도대학교,법학,2.48
15,이덕상,남성,166.5,56.9,O형,19700816,010-4577-2174,tp99lv,daum.net,무교,홍익대학교,교육,0.36
20,조정훈,여성,150.7,58.5,AB형,19810206,010-9277-9276,nlg07ki35m,gmail.com,무교,한국성서대학교,자연,2.34
22,이우훈,남성,181.3,71.4,A형,19470814,010-5843-1764,d2hbfl9vws8j,yahoo.com,무교,가톨릭대학교,의학,0.91
25,조석서,남성,162.0,63.5,A형,19900905,010-5384-7692,rqlyfg7hliper,yahoo.com,무교,성균관대학교,의학,1.83
29,이훈희,남성,167.5,66.7,O형,19520508,010-1747-2047,lfb6cyj9,daum.net,불교,서강대학교,교육,3.01
36,류종정,여성,155.3,55.0,A형,19861220,010-4329-6172,h7wwynqw95jt,naver.com,무교,이화여자대학,교육,2.17
48,신현훈,남성,162.4,66.3,B형,19540820,010-5599-4854,y6217l1,gmail.com,무교,고려대학교,예체능,2.87
50,김정성,남성,170.6,71.4,A형,19740708,010-4108-2616,n0rd6pxpa,daum.net,기독교,성균관대학교,자연,0.69
72,이훈지,여성,152.1,60.6,A형,19631223,010-8378-2231,rx2guykjprdsu,daum.net,기독교,육군사관학교,사회,0.07
73,김서정,남성,174.6,66.8,A형,19680915,010-7842-7424,ggoy724u1s80,daum.net,기독교,그리스도대학교,사회,2.07
80,이지준,여성,150.1,49.9,O형,19710214,010-3645-4222,qe93iawv163h1,yahoo.com,무교,서울시립대학교,예체능,2.35
82,김석성,여성,156.3,51.5,B형,19680418,010-1940-0403,bdcclz9qqtu,naver.com,무교,서경대학교,예체능,3.19
85,서훈준,여성,156.7,48.8,B형,19821009,010-2750-0124,w1alumgu7,naver.com,기독교,장로회신학대학교,공학,4.38
88,서지정,남성,170.8,66.2,A형,19741224,010-4261-3781,raklf90rz3,gmail.com,무교,경기대학교,자연,0.01
89,박준석,여성,148.3,56.8,B형,19940404,010-8740-6270,a2xyukb5ddb,daum.net,무교,서강대학교,자연,0.01
92,이남진,여성,156.3,55.7,B형,19910527,010-5539-5960,cbuvjius,naver.com,무교,성신여자대학교,공학,0.88
105,김덕협,남성,165.7,64.4,A형,19890602,010-1661-1011,derfmt422f,yahoo.com,불교,숭실대학교,예체능,0.43
108,최훈준,남성,167.1,65.7,AB형,19731229,010-0123-1640,mrzvy9a488mjg,naver.com,무교,한국체육대학교,인문,1.84
109,박협택,여성,157.2,53.7,O형,19711019,010-5064-2756,q6fq61a48fv75,gmail.com,무교,홍익대학교,의학,0.86
111,남덕성,여성,155.2,62.5,O형,19530928,010-4650-0738,h2y8wkvo,daum.net,무교,한국외국어대학교,교육,1.99
112,고정상,남성,165.1,59.2,A형,19661031,010-3126-6448,u1g0jz17,daum.net,불교,한양대학교,교육,3.55
124,양지진,남성,181.6,55.6,A형,19510423,010-7214-4410,q4helkgsp2boa,yahoo.com,기독교,한국체육대학교,공학,3.12
126,권덕지,남성,166.7,69.0,A형,19610424,010-2843-1927,jjn7wovl,yahoo.com,불교,건국대학교,의학,1.25
129,김준서,남성,171.8,62.1,B형,19880721,010-1394-8277,uj73rh2mnti41,daum.net,불교,한국체육대학교,자연,1.21
137,김남정,여성,157.0,58.8,A형,19471228,010-1221-0381,ay1c1wcett66,daum.net,무교,이화여자대학,사회,0.66
138,우서성,여성,149.7,57.1,A형,19600308,010-9329-3213,jocolb7lpj9g,yahoo.com,무교,삼육대학교,사회,4.39
143,김석택,여성,161.4,48.6,AB형,19950624,010-1183-1674,eoggi522,naver.com,무교,명지대학교,공학,1.47
147,황진은,여성,150.4,51.3,A형,19880422,010-4076-7703,bm7mhs3kz,yahoo.com,무교,숭실대학교,예체능,1.81
148,정덕영,남성,181.6,60.8,B형,19500526,010-8037-0161,ks96v8pku8h,gmail.com,무교,한양대학교,교육,0.09
149,문희준,남성,179.5,67.0,B형,19540513,010-6782-0644,occp0150lt8,naver.com,불교,그리스도대학교,자연,3.8
152,박상진,여성,148.8,47.7,A형,19680417,010-0037-7363,wjkphtv4kadx6,yahoo.com,천주교,동덕여자대학교,예체능,0.92
174,서상지,여성,151.8,57.3,AB형,19640209,010-3224-8535,ffmgk5o6e,gmail.com,천주교,삼육대학교,법학,3.87
175,김정준,남성,176.2,71.8,AB형,19731016,010-4519-4435,u82b4zmeeeg0m,yahoo.com,기독교,세종대학교,사회,2.45
187,박준정,여성,156.1,58.5,A형,19800114,010-4627-3005,p4w9da,gmail.com,불교,성공회대학교,사회,3.73
200,김준영,여성,146.2,56.9,O형,19950629,010-5369-0003,pjfuxq3kymato,naver.com,무교,한성대학교,의학,3.09
206,공택준,여성,147.6,51.4,A형,19680329,010-8599-6748,p40ix426549gc,daum.net,불교,서울대학교,의학,1.11
215,김용영,남성,172.1,64.3,A형,19490127,010-2517-7150,lbzwj1x,naver.com,무교,한성대학교,사회,1.6
219,김준희,남성,169.8,75.5,A형,19660610,010-1033-2154,h96ncjoavrhn,yahoo.com,기독교,서울교육대학교,법학,2.3
223,황택훈,남성,167.8,69.1,AB형,19910412,010-2061-2745,sg2hechr8gfcb,yahoo.com,무교,한성대학교,법학,4.1
224,이훈상,남성,170.7,69.2,A형,19520229,010-8369-7141,y6rwxl,yahoo.com,무교,한성대학교,공학,4.3
228,원용지,여성,145.8,51.5,B형,19700913,010-7056-0895,h4mdp1ydk,yahoo.com,불교,한국체육대학교,사회,1.48
231,한택덕,남성,173.8,62.7,B형,19671015,010-2745-4720,yajjo3hz,yahoo.com,무교,세종대학교,의학,1.61
240,박용정,여성,156.6,52.6,O형,19880121,010-0060-7256,h9etlg3,naver.com,불교,연세대학교,법학,2.21
243,김은종,여성,155.4,52.6,AB형,19781124,010-2407-8263,dpqyuaqen9,naver.com,무교,한국예술종합학교,인문,3.86
252,김서남,남성,175.3,70.2,B형,19900126,010-0329-4567,vzkh4i7,gmail.com,불교,서울시립대학교,예체능,3.91
254,이석준,여성,152.7,53.3,AB형,19800621,010-4821-7817,tnrebhpu,gmail.com,무교,한영신학대학교,의학,3.25
258,신석남,남성,163.8,71.9,B형,19870930,010-1845-4180,klw2tpd73ldd7,gmail.com,불교,서강대학교,의학,3.39
260,이준우,남성,165.1,64.5,O형,19461221,010-6046-2960,hmq7sqmztahp,yahoo.com,무교,서울여자대학교,의학,0.62
264,안진남,여성,157.1,53.1,O형,19711006,010-6948-9939,aa1k9u09y6qmd,gmail.com,무교,서울기독대학교,의학,1.45
268,오지진,남성,162.9,65.0,O형,19750906,010-2996-5210,s1k7xjt,gmail.com,무교,이화여자대학,자연,0.81
269,이협희,남성,176.3,65.3,O형,19530805,010-1060-6947,l6zqoghanj,yahoo.com,불교,한국방송통신대학교,인문,1.06
274,이종협,남성,173.9,65.8,O형,19830604,010-6289-8732,dab7sxgzdhymp,yahoo.com,무교,동덕여자대학교,예체능,3.63
277,김준남,여성,145.1,58.0,B형,19690106,010-3609-4027,k7av72a47me40,gmail.com,천주교,한국체육대학교,법학,4.1
279,김훈우,남성,179.6,65.7,A형,19490708,010-7847-4267,i357sjun4,yahoo.com,불교,추계예술대학교,예체능,3.91
282,최현성,여성,156.4,57.0,A형,19780507,010-5582-6696,gsax5k4816wrz,yahoo.com,기독교,서울과학기술대학교,예체능,3.11
284,이상성,여성,152.9,54.5,A형,19530924,010-8581-2291,ze3mwcg0rqf,gmail.com,무교,추계예술대학교,자연,0.94
285,이준덕,여성,152.5,58.7,O형,19480804,010-6071-3744,ulw8vne6mt19p,gmail.com,불교,서울여자대학교,의학,4
290,장준현,남성,160.0,66.4,B형,19670705,010-5158-0615,z4vr3p,gmail.com,불교,서강대학교,사회,3.93
293,이현성,여성,146.9,57.0,A형,19950301,010-5971-8421,ocn8o671w0i,gmail.com,무교,중앙대학교,공학,1.1
298,박서우,여성,160.8,54.4,O형,19880629,010-0254-9194,e7tb60i5r,yahoo.com,불교,동국대학교,의학,3.98
311,강성준,남성,177.2,65.8,A형,19630503,010-0101-4993,ov2o4xnfo74oc,naver.com,무교,KAIST,인문,4.45
