No,이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관,최종학력,전공,학점
2665,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1950****,*************,*************,daum.net,기독교,성공회대학교,의학,3.8
14018,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1950****,*************,*************,gmail.com,무교,한국방송통신대학교,공학,3.29
23155,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1950****,*************,*************,naver.com,무교,육군사관학교,인문,2.8
13304,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1952****,*************,*************,gmail.com,기독교,건국대학교,교육,0.54
18028,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1952****,*************,*************,naver.com,무교,경희대학교,공학,2.84
26895,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1952****,*************,*************,yahoo.com,무교,중앙대학교,교육,1.69
11982,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1954****,*************,*************,naver.com,불교,세종대학교,인문,1.01
14884,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1954****,*************,*************,gmail.com,불교,한국체육대학교,의학,1.16
25000,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1954****,*************,*************,yahoo.com,불교,그리스도대학교,사회,2.54
6331,김**,여성,"[160.0, 170.0[","[40.0, 50.0[",AB형,1956****,*************,*************,naver.com,불교,한영신학대학교,교육,3.74
25303,김**,여성,"[160.0, 170.0[","[40.0, 50.0[",O형,1956****,*************,*************,yahoo.com,기독교,세종대학교,예체능,0.23
36271,김**,여성,"[160.0, 170.0[","[40.0, 50.0[",O형,1956****,*************,*************,yahoo.com,무교,한양대학교,자연,0.91
1026,박**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1956****,*************,*************,yahoo.com,무교,KAIST,인문,2.95
11202,박**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1956****,*************,*************,gmail.com,불교,추계예술대학교,예체능,3.71
28005,박**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1956****,*************,*************,yahoo.com,기독교,경기대학교,예체능,1.98
3542,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1959****,*************,*************,yahoo.com,기독교,한양대학교,의학,3.07
19526,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",AB형,1959****,*************,*************,naver.com,무교,광운대학교,사회,4.24
29399,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1959****,*************,*************,yahoo.com,무교,서울대학교,의학,2.92
8243,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1960****,*************,*************,daum.net,무교,숙명여자대학교,사회,0.28
11205,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1960****,*************,*************,yahoo.com,기독교,상명대학교,인문,0.52
19359,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1960****,*************,*************,yahoo.com,무교,서강대학교,인문,1.75
32325,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",AB형,1960****,*************,*************,gmail.com,기독교,장로회신학대학교,의학,0.87
2677,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1968****,*************,*************,gmail.com,무교,명지대학교,의학,3.46
6801,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1968****,*************,*************,daum.net,기독교,한국외국어대학교,법학,2.94
16020,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",AB형,1968****,*************,*************,daum.net,불교,서울시립대학교,교육,3.22
16818,장**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1969****,*************,*************,yahoo.com,불교,KAIST,교육,2.52
19996,장**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1969****,*************,*************,daum.net,기독교,덕성자대학교,법학,0.11
22662,장**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1969****,*************,*************,gmail.com,무교,서경대학교,법학,2.01
6535,김**,여성,"[160.0, 170.0[","[40.0, 50.0[",O형,1971****,*************,*************,daum.net,기독교,서울대학교,법학,2.73
14798,김**,여성,"[160.0, 170.0[","[40.0, 50.0[",A형,1971****,*************,*************,yahoo.com,기독교,연세대학교,자연,1.87
