No,이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관,주거래은행,계좌번호,신용등급
2,윤성상,남성,167.0,70.2,O형,19961001,010-0961-6208,l001zjq,daum.net,무교,신한은행,816-723-532826,2
23,김택진,여성,157.0,48.2,B형,19841106,010-2480-5095,hcs8pez8hf3,gmail.com,불교,신한은행,398-754-952247,4
28,김훈상,여성,148.5,58.4,O형,19940429,010-0537-2450,oqzyrl5cgvm30,daum.net,불교,새마을금고,4-96317098316-9,2
31,이덕희,여성,154.0,61.4,B형,19761018,010-2950-2604,amq89osk544z,naver.com,무교,새마을금고,3-26270501992-8,8
33,김훈준,남성,176.6,70.0,B형,19641013,010-8738-8166,b0zdp353tx8f,gmail.com,불교,수협중앙회,0052-1448-9479,8
36,류종정,여성,155.3,55.0,A형,19861220,010-4329-6172,h7wwynqw95jt,naver.com,무교,기업은행,369-554798-49-002,4
38,나협진,여성,152.5,58.1,B형,19651220,010-2256-4411,a3818d,daum.net,무교,우리은행,1850-506-403208,6
43,오훈은,여성,154.0,58.8,A형,19570527,010-1715-6788,jr4e4s,gmail.com,기독교,스탠다드(제일),651-86-848647,5
44,장은성,여성,162.8,57.7,O형,19821230,010-2807-0490,oku2ki0,daum.net,불교,신한은행,636-060-379028,7
48,신현훈,남성,162.4,66.3,B형,19540820,010-5599-4854,y6217l1,gmail.com,무교,한국씨티은행,265-779422-183,9
50,김정성,남성,170.6,71.4,A형,19740708,010-4108-2616,n0rd6pxpa,daum.net,기독교,NH농협,686-9512-554-96,5
55,권종남,여성,159.8,57.2,B형,19780118,010-9744-8664,v7g2pysrn,naver.com,무교,한국씨티은행,804-373349-915,2
56,최덕희,여성,151.9,51.1,B형,19720123,010-5353-6947,jalq0kwo5,naver.com,기독교,수협중앙회,7368-4971-6599,6
67,이우용,남성,171.2,65.7,A형,19820102,010-1857-3406,lmgkr61u6to,naver.com,불교,신한은행,687-048-187820,1
72,이훈지,여성,152.1,60.6,A형,19631223,010-8378-2231,rx2guykjprdsu,daum.net,기독교,국민은행,273537-26-258573,4
73,김서정,남성,174.6,66.8,A형,19680915,010-7842-7424,ggoy724u1s80,daum.net,기독교,스탠다드(제일),799-61-269225,5
75,박준우,여성,159.4,52.9,A형,19691225,010-7001-9811,xijw6ug8o,yahoo.com,불교,한국씨티은행,710-303806-746,2
76,노준상,여성,149.4,59.8,O형,19650625,010-4747-1957,mesxewzo,yahoo.com,무교,기업은행,138-253524-50-313,5
81,이덕종,여성,155.7,48.0,O형,19860702,010-3425-3198,qs9713wjoy,gmail.com,무교,수협중앙회,6315-3590-4654,4
84,류서지,여성,151.1,48.8,B형,19841013,010-8218-6522,g2qcsyxjfxu6,yahoo.com,불교,외환은행,882-237614-314,2
88,서지정,남성,170.8,66.2,A형,19741224,010-4261-3781,raklf90rz3,gmail.com,무교,신한은행,584-991-480095,7
106,이성영,여성,153.5,50.4,O형,19750904,010-2445-5664,vh81n3,yahoo.com,무교,국민은행,438040-36-600996,1
107,이석성,여성,149.2,59.6,A형,19760607,010-9869-4889,i7ezcr2rxq9,gmail.com,기독교,신한은행,823-986-730227,3
108,최훈준,남성,167.1,65.7,AB형,19731229,010-0123-1640,mrzvy9a488mjg,naver.com,무교,한국씨티은행,874-345866-525,8
110,김정영,남성,165.5,61.1,A형,19680910,010-8001-3698,zvk7iagwo,gmail.com,무교,한국씨티은행,723-093655-724,9
112,고정상,남성,165.1,59.2,A형,19661031,010-3126-6448,u1g0jz17,daum.net,불교,하나은행,165-820759-51925,7
116,조덕훈,남성,166.4,63.2,A형,19720331,010-4355-0393,of6v2ci,daum.net,무교,기업은행,635-651608-18-202,4
119,이덕영,여성,159.3,52.9,A형,19830713,010-6570-3552,klc52c3l91y7d,daum.net,무교,NH농협,736-1312-030-55,4
127,정우희,여성,151.7,54.2,O형,19850912,010-9502-7046,nkkeq5,daum.net,무교,한국씨티은행,076-301163-858,1
128,문준용,남성,160.9,59.9,AB형,19790903,010-8428-2307,u5x3imgw8r,naver.com,기독교,신한은행,980-645-757264,7
