No,이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관,IP,MAC
2,윤성상,남성,167.0,70.2,O형,19961001,010-0961-6208,l001zjq,daum.net,무교,30.154.18.153,f5:7f:dd:63:33:0c
3,방현영,남성,166.3,64.4,B형,19540306,010-3062-2873,nhj1n6lq,naver.com,무교,4.238.2.91,20:42:ff:18:92:1a
7,송성정,남성,174.0,68.6,B형,19500621,010-5913-9817,x2o4dhf1pqlio,daum.net,무교,239.77.62.88,e3:0e:81:e1:9b:7a
12,권서지,남성,170.0,64.8,O형,19880522,010-6584-1525,y58zg29s5co,naver.com,불교,218.253.108.47,01:e4:2c:a8:f3:88
13,이석훈,여성,157.8,57.6,O형,19840322,010-8279-2577,ih5i9ay,daum.net,천주교,34.25.101.117,46:ab:ad:01:41:ae
16,권서진,남성,173.4,60.8,B형,19630412,010-3597-4563,hnmpudxqbix,gmail.com,무교,121.100.91.172,e7:13:b2:d0:fc:42
17,박영택,남성,176.1,65.0,O형,19850411,010-0677-7208,lerxtps,daum.net,무교,168.165.134.143,99:c8:15:5b:7e:b3
21,김덕석,여성,158.3,60.6,A형,19641014,010-4277-9038,wb205p24pk,yahoo.com,무교,151.57.36.86,47:6c:5d:d8:c7:4f
29,이훈희,남성,167.5,66.7,O형,19520508,010-1747-2047,lfb6cyj9,daum.net,불교,83.185.9.248,86:77:4f:e6:e7:ed
30,황은서,남성,170.5,68.6,B형,19530110,010-4138-4361,xmjehgwni4m,yahoo.com,무교,78.94.179.47,42:5e:42:e5:ff:ba
48,신현훈,남성,162.4,66.3,B형,19540820,010-5599-4854,y6217l1,gmail.com,무교,113.222.155.217,93:cd:4a:e3:20:60
52,장서훈,남성,159.9,68.8,B형,19560613,010-7726-5098,vrsqgkrq,gmail.com,무교,14.236.9.197,f2:03:84:c2:76:5a
55,권종남,여성,159.8,57.2,B형,19780118,010-9744-8664,v7g2pysrn,naver.com,무교,135.62.192.251,ad:fd:a5:97:d6:6d
57,황진훈,여성,155.8,56.9,O형,19840807,010-3273-8642,jtshr54,gmail.com,무교,63.54.86.171,2b:6d:21:8c:53:f0
60,사남훈,여성,162.3,59.0,O형,19790511,010-0800-5371,aid2ydwxvy,yahoo.com,무교,138.14.53.87,79:9f:54:bf:e6:f4
64,김훈상,여성,154.1,56.9,B형,19920801,010-1471-3476,wovuo91l4d46a,yahoo.com,불교,231.47.100.172,f0:26:14:75:c2:75
66,박진택,여성,156.8,59.0,B형,19590504,010-0356-9653,bz9uzbjbvus6,yahoo.com,불교,49.202.22.146,5f:c8:59:b8:42:61
77,오덕성,남성,165.0,67.9,B형,19560107,010-1674-0991,g146dv,naver.com,기독교,33.6.132.214,fc:b1:7d:2e:26:4d
86,박용현,남성,178.9,63.2,B형,19871019,010-4202-7827,e0xbwjy,yahoo.com,기독교,184.3.210.121,f9:39:b2:14:ef:57
90,이서희,남성,172.7,67.5,B형,19791030,010-2694-0312,xk8pxncp9,yahoo.com,불교,145.228.156.74,05:32:6c:b5:bb:27
93,계서용,남성,173.5,64.4,O형,19740517,010-3787-4881,usmd92pbzo,naver.com,무교,40.29.194.196,9d:92:59:78:32:8c
94,윤희진,여성,164.1,54.8,A형,19560129,010-0603-2019,tuxzri8y,gmail.com,불교,210.33.115.229,0d:b7:09:89:e4:65
97,김남훈,여성,150.8,49.7,A형,19500818,010-4682-8447,lg5xjn,gmail.com,기독교,124.80.244.58,38:26:ce:ad:03:61
101,김협지,여성,170.6,62.9,O형,19720922,010-8652-4316,jt0jlwejfqey,gmail.com,불교,211.248.7.92,bd:5e:75:e2:a7:2f
104,윤은현,남성,172.8,61.3,O형,19590821,010-0082-9373,xq9gipe,gmail.com,불교,12.150.180.77,de:89:b9:b4:8e:71
